observation,action
"0.3539919, 0.7393892, -0.49766478, -0.37489378, 0.6530097, -0.10937683, 0.0, 0.0","0.7672964, 0.7792291"
"0.34842968, 0.73109937, -0.55018526, -0.3653847, 0.6455281, -0.14963306, 0.0, 0.0","0.7672964, 0.7792291"
"0.3427967, 0.7227871, -0.55602634, -0.3658156, 0.6365704, -0.179154, 0.0, 0.0","0.7672964, 0.7792291"
"0.33706856, 0.7146162, -0.5643599, -0.35901582, 0.6262118, -0.20717093, 0.0, 0.0","0.7672964, 0.7792291"
"0.33093795, 0.7064063, -0.60287166, -0.36002982, 0.61386144, -0.24700782, 0.0, 0.0","0.7672964, 0.7792291"
"0.32447863, 0.69818634, -0.6341075, -0.359853, 0.59964234, -0.28438383, 0.0, 0.0","0.7672964, 0.7792291"
"0.31783953, 0.69016945, -0.6506881, -0.35037345, 0.5839185, -0.31447804, 0.0, 0.0","0.7672964, 0.7792291"
"0.3110547, 0.6820198, -0.6637003, -0.35579717, 0.56651473, -0.3480753, 0.0, 0.0","0.7672964, 0.7792291"
"0.30407333, 0.67367995, -0.68162817, -0.3637922, 0.54730886, -0.38411874, 0.0, 0.0","0.7672964, 0.7792291"
"0.2968482, 0.665693, -0.7044632, -0.34779117, 0.52655536, -0.415071, 0.0, 0.0","0.7672964, 0.7792291"
"0.28921708, 0.657999, -0.743186, -0.33441108, 0.50393295, -0.4524483, 0.0, 0.0","0.7672964, 0.7792291"
"0.28133678, 0.6500287, -0.766084, -0.3463728, 0.47934994, -0.49165997, 0.0, 0.0","0.76546526, 0.7792291"
"0.27321902, 0.641919, -0.7878488, -0.35237345, 0.45289457, -0.52910817, 0.0, 0.0","0.75786614, 0.7792291"
"0.26485378, 0.63403416, -0.81071997, -0.34232858, 0.42473108, -0.5632707, 0.0, 0.0","0.63042086, 0.7108371"
"0.25611496, 0.62657446, -0.84613836, -0.32347292, 0.3948604, -0.5974146, 0.0, 0.0","0.50608844, 0.54713583"
"0.24734163, 0.6189925, -0.84828854, -0.3292195, 0.36398104, -0.6175876, 0.0, 0.0","0.418775, 0.4056215"
"0.23834935, 0.6112549, -0.86941195, -0.336638, 0.3326447, -0.626727, 0.0, 0.0","0.3457747, 0.30790123"
"0.22927141, 0.6036671, -0.8780179, -0.33068258, 0.30169055, -0.61908394, 0.0, 0.0","0.31192967, 0.23364972"
"0.22016354, 0.5961906, -0.88123226, -0.32644594, 0.27125713, -0.6086685, 0.0, 0.0","0.31452376, 0.20334482"
"0.21089287, 0.5887111, -0.8970391, -0.32714862, 0.24059293, -0.6132838, 0.0, 0.0","0.42216253, 0.19116795"
"0.20160265, 0.5815478, -0.8993328, -0.3137969, 0.21051587, -0.60154104, 0.0, 0.0","0.7689749, 0.18436232"
"0.1920929, 0.5742951, -0.9204364, -0.3182839, 0.17977695, -0.61477935, 0.0, 0.0","1.0000305, 0.18106632"
"0.18244906, 0.567936, -0.933884, -0.2792162, 0.1492528, -0.6104833, 0.0, 0.0","1.0000305, 0.18106632"
"0.17288494, 0.5618806, -0.9265517, -0.26641268, 0.11950864, -0.5948836, 0.0, 0.0","1.0000305, 0.19147313"
"0.1633192, 0.5565223, -0.9270837, -0.23604384, 0.090234704, -0.585479, 0.0, 0.0","1.0000305, 0.21097445"
"0.15380402, 0.5513143, -0.9224103, -0.2299672, 0.061402403, -0.57664627, 0.0, 0.0","1.0000305, 0.22458571"
"0.14436045, 0.5466335, -0.9157308, -0.20710185, 0.033115584, -0.5657364, 0.0, 0.0","1.0000305, 0.23059785"
"0.13507824, 0.54197395, -0.90039444, -0.20670594, 0.0056383284, -0.5495451, 0.0, 0.0","1.0000305, 0.23426008"
"0.12569037, 0.5377266, -0.9104737, -0.18890126, -0.022308277, -0.5589323, 0.0, 0.0","1.0000305, 0.23426008"
"0.116486356, 0.5340338, -0.89289254, -0.1647529, -0.049484134, -0.5435173, 0.0, 0.0","1.0000305, 0.23615223"
"0.10748787, 0.53089243, -0.8731472, -0.14070758, -0.07588535, -0.52802444, 0.0, 0.0","1.0000305, 0.23615223"
"0.09859276, 0.5287208, -0.86297196, -0.09806919, -0.10217603, -0.5258141, 0.0, 0.0","1.0000305, 0.23615223"
"0.089932635, 0.5270551, -0.8402858, -0.075988665, -0.1277334, -0.5111474, 0.0, 0.0","1.0000305, 0.23718986"
"0.081331536, 0.5254655, -0.8344738, -0.07304485, -0.1532847, -0.5110264, 0.0, 0.0","1.0000305, 0.23718986"
"0.07274494, 0.52406365, -0.8328123, -0.065169185, -0.17913905, -0.5170877, 0.0, 0.0","0.9965819, 0.23718986"
"0.064195536, 0.52348983, -0.82860786, -0.028894931, -0.20560767, -0.529373, 0.0, 0.0","0.68282115, 0.2245552"
"0.05574255, 0.5233308, -0.81892174, -0.010953691, -0.23227802, -0.5334073, 0.0, 0.0","0.3566698, 0.105838194"
"0.047513105, 0.5235293, -0.79704446, 0.0045202253, -0.25862077, -0.5268552, 0.0, 0.0","0.22415845, 0.008972442"
"0.039280318, 0.52347386, -0.7972934, -0.0072734975, -0.2852507, -0.5325986, 0.0, 0.0","0.10275582, -0.028382214"
"0.03118906, 0.52326167, -0.7835632, -0.014643869, -0.31163564, -0.52769977, 0.0, 0.0","0.0, -0.04159673"
"0.023099804, 0.52245826, -0.78358907, -0.04136672, -0.33801937, -0.5276744, 0.0, 0.0","0.0, -0.045167394"
"0.01501255, 0.5210637, -0.7836171, -0.068089105, -0.36440182, -0.5276491, 0.0, 0.0","0.0, -0.046845913"
"0.0069275857, 0.5190777, -0.7836473, -0.09481097, -0.390783, -0.52762383, 0.0, 0.0","0.0, -0.09836116"
"-0.0011550903, 0.5165003, -0.7836797, -0.12153229, -0.41716293, -0.52759856, 0.0, 0.0","0.0, -0.26953948"
"-0.009235287, 0.5133314, -0.7837143, -0.14825301, -0.44354156, -0.5275733, 0.0, 0.0","0.0, -0.42246774"
"-0.017312814, 0.5095708, -0.7837509, -0.17497309, -0.46991897, -0.527548, 0.0, 0.0","0.0, -0.5775933"
"-0.02541914, 0.5052397, -0.7877699, -0.2004496, -0.49537194, -0.5090593, 0.0, 0.0","0.18839076, -0.7352214"
"-0.033537675, 0.50067437, -0.7906135, -0.21075462, -0.5193513, -0.47958773, 0.0, 0.0","0.32889798, -0.8843959"
"-0.041499805, 0.49607393, -0.7768879, -0.2119998, -0.5414491, -0.44195503, 0.0, 0.0","0.38337353, -0.94247264"
"-0.04935894, 0.49150953, -0.76854116, -0.20997086, -0.56157726, -0.4025622, 0.0, 0.0","0.40299693, -0.9616077"
"-0.05685072, 0.4872838, -0.73380524, -0.19437844, -0.57960445, -0.36054248, 0.0, 0.0","0.42271188, -0.9525132"
"-0.064269826, 0.48319024, -0.72835225, -0.18794468, -0.59566885, -0.32128844, 0.0, 0.0","0.34949797, -0.39512315"
"-0.071357444, 0.47940218, -0.69511336, -0.1746265, -0.61203086, -0.3272397, 0.0, 0.0","0.0, -0.09143346"
"-0.07844381, 0.475017, -0.6951326, -0.20131178, -0.6283926, -0.32723367, 0.0, 0.0","0.0, 0.024079105"
"-0.08552866, 0.47003475, -0.6951523, -0.22799686, -0.64475393, -0.32722762, 0.0, 0.0","0.120670184, 0.5444197"
"-0.09229155, 0.4648357, -0.6622423, -0.23822328, -0.6622055, -0.34903115, 0.0, 0.0","0.12042604, 1.0000305"
"-0.098768614, 0.45958272, -0.63216263, -0.24169128, -0.6817907, -0.39170235, 0.0, 0.0","0.114627525, 1.0000305"
"-0.10490885, 0.45411336, -0.59701556, -0.25246996, -0.7035867, -0.4359211, 0.0, 0.0","0.1117893, 1.0000305"
"-0.11091022, 0.4482839, -0.58179337, -0.26969546, -0.7275585, -0.47943616, 0.0, 0.0","0.10867641, 1.0000305"
"-0.11666336, 0.44220322, -0.5557295, -0.28215784, -0.75372285, -0.5232867, 0.0, 0.0","0.10867641, 1.0000305"
"-0.1219656, 0.43596205, -0.5094861, -0.29069906, -0.7821467, -0.5684787, 0.0, 0.0","0.124423966, 1.0000305"
"-0.12682, 0.4295688, -0.4636849, -0.2989457, -0.8128281, -0.6136303, 0.0, 0.0","0.14300974, 1.0000305"
"-0.1312397, 0.42322034, -0.41945153, -0.2984973, -0.8456904, -0.6572467, 0.0, 0.0","0.16351818, 1.0000305"
"-0.13516597, 0.41657618, -0.36940354, -0.31333426, -0.8808893, -0.703977, 0.0, 0.0","0.17902158, 1.0000305"
"-0.13855533, 0.40969384, -0.3152307, -0.32570043, -0.91842234, -0.7506623, 0.0, 0.0","0.19080172, 1.0000305"
"-0.14162807, 0.40235567, -0.2833287, -0.34783792, -0.95830935, -0.7977411, 0.0, 0.0","0.19971313, 1.0000305"
"-0.14428921, 0.39470002, -0.24217287, -0.3638946, -1.0005364, -0.8445427, 0.0, 0.0","0.20392469, 1.0000305"
"-0.14632615, 0.3867496, -0.18006137, -0.37903935, -1.0451607, -0.89248353, 0.0, 0.0","0.20929594, 1.0000305"
"-0.1479086, 0.37840706, -0.13520862, -0.39857656, -1.0921813, -0.9404167, 0.0, 0.0","0.20960112, 1.0000305"
"-0.14896326, 0.36993578, -0.08344499, -0.4064013, -1.1415056, -0.9864875, 0.0, 0.0","0.2125309, 1.0000305"
"-0.14969292, 0.36080855, -0.052236803, -0.43780658, -1.1933278, -1.0364437, 0.0, 0.0","0.2125309, 1.0000305"
"-0.14987536, 0.35148427, 0.00072849105, -0.44872686, -1.2474774, -1.0829952, 0.0, 0.0","0.2125309, 1.0000305"
"-0.1494296, 0.34170341, 0.061417848, -0.47125578, -1.3040954, -1.1323625, 0.0, 0.0","0.2125309, 1.0000305"
"-0.14859505, 0.33148485, 0.09768392, -0.49287108, -1.3631171, -1.1804373, 0.0, 0.0","0.2125309, 1.0000305"
"-0.1471138, 0.320598, 0.15930459, -0.5247746, -1.4247012, -1.2316836, 0.0, 0.0","0.2125309, 1.0000305"
"-0.14500666, 0.30899736, 0.21832207, -0.5586093, -1.4888512, -1.2830029, 0.0, 0.0","0.2125309, 1.0000305"
"-0.14263506, 0.29677084, 0.24068339, -0.5883222, -1.5554651, -1.3322841, 0.0, 0.0","0.2125309, 1.0000305"
"-0.13994236, 0.2839886, 0.26817855, -0.6147047, -1.6244832, -1.380367, 0.0, 0.0","0.2125309, 1.0000305"
"-0.13691577, 0.27028364, 0.29643732, -0.65729517, -1.6961031, -1.4324028, 0.0, 0.0","0.2125309, 1.0000305"
"-0.13341407, 0.25575674, 0.33832794, -0.6950598, -1.770217, -1.482281, 0.0, 0.0","0.2125309, 1.0000305"
"-0.1295127, 0.24048193, 0.3721851, -0.72915196, -1.8467447, -1.530558, 0.0, 0.0","0.2125309, 1.0000305"
"-0.12531681, 0.22445841, 0.39511567, -0.7628825, -1.9256585, -1.5782802, 0.0, 0.0","0.20798364, 1.0000305"
"-0.120709226, 0.2075924, 0.42935482, -0.8003395, -2.006934, -1.6255118, 0.0, 0.0","0.1909238, 1.0000305"
"-0.11550188, 0.18978639, 0.48213115, -0.84159744, -2.0905056, -1.6714392, 0.0, 0.0","0.17181921, 1.0000305"
"-0.10999985, 0.17114218, 0.50416315, -0.87779325, -2.1763406, -1.7167108, 0.0, 0.0","0.16135135, 1.0000305"
"-0.10419531, 0.151258, 0.5267376, -0.9313436, -2.2645595, -1.76439, 0.0, 0.0","0.1545152, 1.0000305"
"-0.09817962, 0.13044864, 0.5402099, -0.9701862, -2.3549814, -1.8084469, 0.0, 0.0","0.15088351, 1.0000305"
"-0.09176312, 0.108510815, 0.57274425, -1.0173972, -2.447541, -1.8512037, 0.0, 0.0","0.14578693, 1.0000305"
"-0.08505611, 0.08518146, 0.5944003, -1.0756592, -2.5422838, -1.89487, 0.0, 0.0","0.1414533, 0.98751795"
"-0.07821789, 0.060539756, 0.6005072, -1.1297005, -2.6391327, -1.936991, 0.0, 0.0","0.1398358, 0.91961426"
"-0.0712203, 0.03448535, 0.6100781, -1.1874686, -2.7378705, -1.9747645, 0.0, 0.0","0.1398358, 0.8503372"
"0.00043878556, 1.4148036, 0.044423014, 0.1725963, -0.00050158537, -0.010062469, 0.0, 0.0","0.0, 0.06836146"
"0.0008773804, 1.4181089, 0.044363145, 0.14690678, -0.000998783, -0.009944068, 0.0, 0.0","0.0, 0.032593768"
"0.0013159752, 1.4208149, 0.044364702, 0.120263785, -0.0014957262, -0.009939722, 0.0, 0.0","0.0, 0.021027254"
"0.00175457, 1.4229207, 0.044366173, 0.09359253, -0.001992593, -0.009938246, 0.0, 0.0","0.0, 0.017548144"
"0.0021932602, 1.4244266, 0.044367634, 0.06692401, -0.0024893815, -0.009936688, 0.0, 0.0","0.0, 0.015839107"
"0.002631855, 1.4253323, 0.04436911, 0.04025567, -0.0029860747, -0.009935143, 0.0, 0.0","0.0, 0.014618366"
"0.0030705451, 1.425638, 0.044370577, 0.013587376, -0.003482713, -0.009933598, 0.0, 0.0","0.0, 0.014618366"
"0.0035092353, 1.4253439, 0.04437204, -0.013080955, -0.003979278, -0.0099320505, 0.0, 0.0","0.0, 0.014618366"
"0.0039480207, 1.4244496, 0.0443735, -0.039749313, -0.004475761, -0.009930501, 0.0, 0.0","0.0, 0.014618366"
"0.004386711, 1.422955, 0.044374958, -0.06641772, -0.0049721617, -0.009928966, 0.0, 0.0","0.0, 0.014618366"
"0.004825401, 1.4208606, 0.04437641, -0.09308615, -0.005468493, -0.009927433, 0.0, 0.0","0.0, 0.014618366"
"0.0052640913, 1.4181663, 0.044377852, -0.119754635, -0.0059647313, -0.009925897, 0.0, 0.0","0.0, 0.014618366"
"0.0057029724, 1.4148718, 0.044379294, -0.14642316, -0.0064609037, -0.0099243205, 0.0, 0.0","0.0, 0.014618366"
"0.006141758, 1.4109772, 0.044380732, -0.17309171, -0.006957013, -0.009922875, 0.0, 0.0","0.0, 0.014618366"
"0.0065805437, 1.4064827, 0.044382162, -0.1997603, -0.007453043, -0.009921392, 0.0, 0.0","0.0, 0.014618366"
"0.0070194243, 1.4013882, 0.044383585, -0.22642896, -0.0079489825, -0.009919849, 0.0, 0.0","0.0, 0.014618366"
"0.00745821, 1.3956935, 0.04438501, -0.25309762, -0.008444867, -0.009918633, 0.0, 0.0","0.0, 0.014618366"
"0.007896995, 1.3893988, 0.044386413, -0.27976638, -0.008940664, -0.009917001, 0.0, 0.0","0.0, 0.014618366"
"0.008335876, 1.3825041, 0.044387825, -0.30643514, -0.009436416, -0.009916096, 0.0, 0.0","0.0, 0.014618366"
"0.008774757, 1.3750093, 0.044389214, -0.33310392, -0.009932117, -0.009914727, 0.0, 0.0","0.0, 0.014618366"
"0.0092136385, 1.3669145, 0.044390615, -0.35977274, -0.010427745, -0.009913566, 0.0, 0.0","0.0, 0.014618366"
"0.009652615, 1.3582197, 0.044392, -0.38644162, -0.010923299, -0.009911805, 0.0, 0.0","0.0, 0.023621326"
"0.010091496, 1.3489249, 0.0443934, -0.41311046, -0.011418788, -0.00991071, 0.0, 0.0","0.0, 0.042237617"
"0.010530377, 1.3390298, 0.044394776, -0.4397794, -0.011914209, -0.009909384, 0.0, 0.0","0.0, 0.08163701"
"0.010969353, 1.3285348, 0.044396155, -0.4664484, -0.012409571, -0.009908086, 0.0, 0.0","0.13638721, 0.1312296"
"0.011407757, 1.3180189, 0.044368528, -0.46738064, -0.012929494, -0.010398641, 0.0, 0.0","0.17096469, 0.1551561"
"0.011839008, 1.3073697, 0.043711226, -0.47329798, -0.013500797, -0.011426256, 0.0, 0.0","0.19403668, 0.16568498"
"0.012205219, 1.2968011, 0.037540175, -0.46972677, -0.014401257, -0.018009434, 0.0, 0.0","0.20465712, 0.16846217"
"0.012689781, 1.2865518, 0.048856966, -0.45552388, -0.014795265, -0.007880047, 0.0, 0.0","0.20780054, 0.1708121"
"0.013196373, 1.2761279, 0.050971884, -0.46329018, -0.015106947, -0.0062335487, 0.0, 0.0","0.20780054, 0.17123936"
"0.013730431, 1.2660218, 0.053637125, -0.449162, -0.0153340725, -0.004542499, 0.0, 0.0","0.20780054, 0.17123936"
"0.014218902, 1.2557796, 0.049315, -0.45521662, -0.015793927, -0.009197149, 0.0, 0.0","0.20780054, 0.17123936"
"0.0146278385, 1.245681, 0.0417644, -0.4488339, -0.016658166, -0.017284615, 0.0, 0.0","0.20010987, 0.17145298"
"0.015077305, 1.2355112, 0.04565867, -0.45200744, -0.017361833, -0.01407321, 0.0, 0.0","0.18375194, 0.17145298"
"0.0155825615, 1.2252371, 0.050999153, -0.45663482, -0.017834123, -0.009445725, 0.0, 0.0","0.15027314, 0.15842158"
"0.016192818, 1.2149992, 0.061050497, -0.45501918, -0.017855262, -0.00042285683, 0.0, 0.0","0.0, 0.079989016"
"0.01680317, 1.2041612, 0.061050497, -0.4816859, -0.01787641, -0.00042286064, 0.0, 0.0","0.0, 0.040559098"
"0.017413521, 1.1927233, 0.061050497, -0.5083526, -0.01789756, -0.00042285994, 0.0, 0.0","0.0, 0.027100436"
"0.018023873, 1.1806854, 0.061050497, -0.5350192, -0.017918712, -0.00042286623, 0.0, 0.0","0.0, 0.022614216"
"0.01863413, 1.1680474, 0.061050497, -0.56168586, -0.01793986, -0.00042286134, 0.0, 0.0","0.0, 0.020722069"
"0.01924448, 1.1548095, 0.061050497, -0.5883525, -0.017961012, -0.0004228638, 0.0, 0.0","0.0, 0.020722069"
"0.019854832, 1.1409715, 0.061050497, -0.61501914, -0.017982159, -0.00042288602, 0.0, 0.0","0.0, 0.01965392"
"0.020465184, 1.1265336, 0.061050497, -0.6416858, -0.0180033, -0.00042286975, 0.0, 0.0","0.0, 0.01965392"
"0.021075439, 1.1114957, 0.061050497, -0.6683524, -0.01802445, -0.00042286672, 0.0, 0.0","0.0, 0.01965392"
"0.02168579, 1.0958577, 0.061050497, -0.69501907, -0.018045606, -0.00042286754, 0.0, 0.0","0.0, 0.01965392"
"0.022296142, 1.0796199, 0.061050497, -0.7216857, -0.018066762, -0.00042285686, 0.0, 0.0","0.0, 0.01965392"
"0.022906493, 1.0627819, 0.061050497, -0.74835235, -0.018087918, -0.0004228491, 0.0, 0.0","0.0, 0.01965392"
"0.02351675, 1.045344, 0.061050497, -0.775019, -0.018109059, -0.00042285147, 0.0, 0.0","0.0, 0.01965392"
"0.024127102, 1.0273061, 0.061050497, -0.80168563, -0.018130204, -0.00042284868, 0.0, 0.0","0.0, 0.0369274"
"0.024737453, 1.0086681, 0.061050497, -0.8283523, -0.018151345, -0.00042284615, 0.0, 0.0","0.0, 0.0631428"
"0.025347805, 0.9894301, 0.061050497, -0.8550189, -0.018172486, -0.0004228293, 0.0, 0.0","0.15094455, 0.1150853"
"0.026063442, 0.9703989, 0.071144685, -0.84582734, -0.017751124, 0.008427438, 0.0, 0.0","0.2074038, 0.15488143"
"0.02680521, 0.95139784, 0.07366349, -0.8444885, -0.017243648, 0.010149395, 0.0, 0.0","0.23203222, 0.17203283"
"0.027662182, 0.93245715, 0.08467272, -0.8417986, -0.016238712, 0.02009875, 0.0, 0.0","0.23996703, 0.17960143"
"0.028503418, 0.91346127, 0.08320514, -0.8442493, -0.0153336, 0.018102633, 0.0, 0.0","0.24048586, 0.18387403"
"0.029256057, 0.8948041, 0.07480653, -0.82919794, -0.014882561, 0.009020837, 0.0, 0.0","0.2405469, 0.19064912"
"0.030092621, 0.876255, 0.08283995, -0.82440245, -0.014075654, 0.016137822, 0.0, 0.0","0.2430189, 0.19992675"
"0.03099823, 0.8577551, 0.08945593, -0.82220423, -0.012977182, 0.021969352, 0.0, 0.0","0.24356823, 0.20700705"
"0.03195133, 0.8392496, 0.09398997, -0.82245404, -0.011683578, 0.025872204, 0.0, 0.0","0.24594867, 0.21607105"
"0.0330142, 0.8208567, 0.10448631, -0.817449, -0.009907418, 0.035523225, 0.0, 0.0","0.24643697, 0.2238838"
"0.03407345, 0.80230695, 0.104162015, -0.8244166, -0.00816115, 0.034925446, 0.0, 0.0","0.24655904, 0.23038423"
"0.035039425, 0.7841037, 0.095288254, -0.8090244, -0.0068704723, 0.025813814, 0.0, 0.0","0.24958037, 0.24161504"
"0.03609438, 0.76610225, 0.10378686, -0.80005723, -0.005185045, 0.033708677, 0.0, 0.0","0.25522628, 0.25943786"
"0.03719778, 0.7484247, 0.108420804, -0.7856611, -0.0032901044, 0.03789869, 0.0, 0.0","0.2636189, 0.27146214"
"0.038366318, 0.7310111, 0.11463537, -0.77394134, -0.0011026711, 0.043748744, 0.0, 0.0","0.2739036, 0.2854091"
"0.039533425, 0.7137913, 0.114511475, -0.76532406, 0.0010760014, 0.043573245, 0.0, 0.0","0.28849146, 0.305063"
"0.040591337, 0.69671845, 0.10409714, -0.7587923, 0.0027518563, 0.03351705, 0.0, 0.0","0.30576494, 0.3424482"
"0.04172468, 0.67966145, 0.1112745, -0.75809354, 0.0047816057, 0.04059502, 0.0, 0.0","0.31266212, 0.39146093"
"0.042774487, 0.662895, 0.10329988, -0.74517924, 0.0064381505, 0.03313102, 0.0, 0.0","0.31583604, 0.44898832"
"0.043794442, 0.6465377, 0.100444116, -0.72700155, 0.007977239, 0.030781534, 0.0, 0.0","0.31751457, 0.5089572"
"0.04484854, 0.6303188, 0.104880095, -0.72084546, 0.008498915, 0.010433606, 0.0, 0.0","0.32197028, 0.5912656"
"0.045970917, 0.6142945, 0.11284779, -0.71218455, 0.007896664, -0.012045255, 0.0, 0.0","0.325663, 0.67888427"
"0.04721298, 0.5983313, 0.12606332, -0.7094679, 0.0060589323, -0.036754563, 0.0, 0.0","0.32871488, 0.7406842"
"0.048513602, 0.58250624, 0.13341795, -0.70332456, 0.0027526875, -0.066124804, 0.0, 0.0","0.32871488, 0.78719443"
"0.04982567, 0.56691474, 0.13619965, -0.6929557, -0.0021799384, -0.09865222, 0.0, 0.0","0.32871488, 0.81048006"
"0.051254272, 0.5516568, 0.14943522, -0.67815226, -0.008665417, -0.12970985, 0.0, 0.0","0.3217261, 0.8179876"
"0.052869223, 0.53681755, 0.16958317, -0.6595927, -0.01664968, -0.1596852, 0.0, 0.0","0.30875576, 0.78325754"
"0.054513454, 0.5223549, 0.1741347, -0.64291817, -0.026243508, -0.191877, 0.0, 0.0","0.2864162, 0.46394238"
"0.056251146, 0.5078286, 0.18309848, -0.64580214, -0.035447747, -0.18408495, 0.0, 0.0","0.25547045, 0.17352824"
"0.05794344, 0.49327627, 0.1788282, -0.64702487, -0.04492465, -0.18953852, 0.0, 0.0","0.22699668, 0.09543138"
"0.059604835, 0.4789178, 0.17597795, -0.6384779, -0.054654814, -0.194603, 0.0, 0.0","0.21588793, 0.017273476"
"0.061350442, 0.46432894, 0.1840734, -0.6487655, -0.06405766, -0.18805708, 0.0, 0.0","0.21588793, -0.023926511"
"0.063154794, 0.44983894, 0.1898006, -0.64442605, -0.07332747, -0.18539622, 0.0, 0.0","0.30228585, -0.09683523"
"0.06499834, 0.4351654, 0.1936312, -0.65263844, -0.082510196, -0.18365431, 0.0, 0.0","0.43482772, -0.18872647"
"0.06697502, 0.420547, 0.2064844, -0.6502162, -0.091245584, -0.17470829, 0.0, 0.0","0.54176456, -0.26090273"
"0.06911297, 0.40577877, 0.22198455, -0.6568867, -0.09936439, -0.16237558, 0.0, 0.0","0.603412, -0.30820644"
"0.071299456, 0.39096665, 0.22677234, -0.65887874, -0.107430056, -0.1613132, 0.0, 0.0","0.63374734, -0.33158362"
"0.07354536, 0.37606588, 0.23261163, -0.662856, -0.115390964, -0.15921816, 0.0, 0.0","0.6447035, -0.3391522"
"0.07573433, 0.3613528, 0.2274458, -0.6545982, -0.123893574, -0.17005245, 0.0, 0.0","0.6479385, -0.34250924"
"0.077881716, 0.34704566, 0.22387019, -0.63665503, -0.1329696, -0.18152109, 0.0, 0.0","0.65215003, -0.34434035"
"0.08021021, 0.3329316, 0.2414495, -0.6280819, -0.14153999, -0.17140773, 0.0, 0.0","0.6927702, -0.36198005"
"0.0827631, 0.3193647, 0.26335314, -0.60376006, -0.14958137, -0.16082774, 0.0, 0.0","0.74236274, -0.38264108"
"0.08546667, 0.3062494, 0.27819747, -0.5837089, -0.15741704, -0.15671349, 0.0, 0.0","0.7582629, -0.3874325"
"0.08844862, 0.29374674, 0.30534548, -0.55645126, -0.16456668, -0.1429927, 0.0, 0.0","0.76186407, -0.3886227"
"0.091593266, 0.2811966, 0.32113925, -0.5585381, -0.17125319, -0.13373029, 0.0, 0.0","0.7648549, -0.3886227"
"0.094787695, 0.2691941, 0.32648817, -0.534274, -0.17831562, -0.14124885, 0.0, 0.0","0.7664418, -0.3904233"
"0.09809236, 0.25711206, 0.33728865, -0.5378152, -0.18516071, -0.13690189, 0.0, 0.0","0.76940215, -0.3904233"
"0.10142698, 0.24569757, 0.34085184, -0.50825185, -0.19258931, -0.14857242, 0.0, 0.0","0.76940215, -0.3904233"
"0.104970835, 0.23466232, 0.36139864, -0.49138406, -0.19964561, -0.1411262, 0.0, 0.0","0.7711722, -0.3904233"
"0.1086998, 0.22382835, 0.37955692, -0.48242712, -0.20635234, -0.1341346, 0.0, 0.0","0.7711722, -0.3904233"
"0.112501524, 0.21302535, 0.3868881, -0.48108464, -0.21312852, -0.13552341, 0.0, 0.0","0.778283, -0.3904233"
"0.11656217, 0.20277752, 0.41235843, -0.4563813, -0.21948734, -0.12717636, 0.0, 0.0","0.8213447, -0.3942076"
"0.12083435, 0.19298996, 0.43326062, -0.43591464, -0.225603, -0.122313224, 0.0, 0.0","0.88842434, -0.4300058"
"0.12524804, 0.18393697, 0.44768158, -0.40333807, -0.2320012, -0.12796357, 0.0, 0.0","0.91186255, -0.44837794"
"0.1297904, 0.17502488, 0.46048212, -0.39709154, -0.23834558, -0.12688795, 0.0, 0.0","0.9195532, -0.45829645"
"0.1343586, 0.16621715, 0.463448, -0.39254153, -0.2450866, -0.1348203, 0.0, 0.0","0.9201636, -0.46351513"
"0.13905182, 0.158257, 0.47645316, -0.3549919, -0.25234947, -0.1452574, 0.0, 0.0","0.9202246, -0.46827602"
"0.14395523, 0.15032573, 0.49700466, -0.3536627, -0.25915524, -0.13611564, 0.0, 0.0","0.9202246, -0.4721824"
"0.14891653, 0.14274095, 0.5032702, -0.33838323, -0.26644954, -0.1458861, 0.0, 0.0","0.9202246, -0.4721824"
"0.15420637, 0.13546179, 0.5353929, -0.324697, -0.2730132, -0.13127354, 0.0, 0.0","0.9202246, -0.47413558"
"0.15952472, 0.12836881, 0.53874016, -0.3165536, -0.28010368, -0.14180975, 0.0, 0.0","0.9202246, -0.47523424"
"0.16524267, 0.12188581, 0.57797116, -0.28932768, -0.2864488, -0.12690239, 0.0, 0.0","0.9202246, -0.47523424"
"0.17128773, 0.11565736, 0.6099843, -0.2779064, -0.29208684, -0.11276092, 0.0, 0.0","0.9202246, -0.47523424"
"0.17751798, 0.10932806, 0.6281203, -0.2823338, -0.29734808, -0.10522501, 0.0, 0.0","0.8604694, -0.4344615"
"0.18411799, 0.1035139, 0.66448885, -0.2593292, -0.301981, -0.092658386, 0.0, 0.0","0.29139072, -0.0824305"
"0.19086504, 0.09790357, 0.6792623, -0.25030574, -0.30670205, -0.09442086, 0.0, 0.0","0.18689536, -0.031983398"
"0.19762763, 0.092075594, 0.6810947, -0.26004955, -0.31171024, -0.10016386, 0.0, 0.0","0.10043641, -0.004242073"
"0.20450106, 0.08620735, 0.692202, -0.26186335, -0.31676018, -0.100998595, 0.0, 0.0","0.0, 0.008758812"
"0.21137457, 0.07973951, 0.692201, -0.28853205, -0.32181013, -0.1009984, 0.0, 0.0","0.0, 0.013428144"
"0.21824798, 0.07267192, 0.69220006, -0.31520072, -0.32686, -0.10099826, 0.0, 0.0","0.0, 0.015808588"
"0.22512159, 0.06500467, 0.69219905, -0.3418694, -0.33190992, -0.10099809, 0.0, 0.0","0.0, 0.015808588"
